원표기	측정맥락	표준명	표준코드	CAS	IARC	유형	비유해	연관인자	매핑근거	신뢰도	사례수	측정건수
buthyl acetate		부틸 아세테이트				유기용제			정준명(레지스트리 외)	C	1	1
ethyl benzene		에틸벤젠				유기용제			정준명(레지스트리 외)	C	1	1
isopropyl alcohol		이소프로필 알코올	이소프로-126	67-63-0					동의어사전→이소프로필 알코올	R	1	1
methyl isobuthyl ketone		메틸 이소부틸 케톤	메틸이소-055	108-10-1					동의어사전→메틸 이소부틸 케톤	R	1	1
naphthalene		나프탈렌				유기화합물			정준명(레지스트리 외)	C	1	1
styrene		스티렌	스티렌-105	100-42-5	Group 2B				동의어사전→스티렌	R	1	1
toluene		톨루엔	톨루엔-191	108-88-3					동의어사전→톨루엔	R	1	1
β-마이크로글로불린						비유해인자	생체지표		비유해인자:생체지표	NA	1	1
가성소다(수산화나트륨, NaOH)	수산화나트륨, NaOH	수산화 나트륨	수산화나-100	1310-73-2					동의어사전→수산화 나트륨	R	1	1
가시영역 복사량		가시광선				물리적			정준명(레지스트리 외)	C	1	1
각섬석 섬유(투각섬석)	투각섬석	석면 분진	석면분진-089	1332-21-4	Group 1				동의어사전→석면 분진	R	1	1
간						비유해인자	오배정(장기명)		비유해인자:오배정(장기명)	NA	1	1
감마선		X선 및 감마선	X선및감-006		Group 1				레지스트리 포함매칭	R	1	1
결정형 산화규소		결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
결정형 유리규산(크리스토발라이트)	크리스토발라이트	결정형 유리규산	광물성분-012	14808-60-7	Group 1				레지스트리 정확일치	R	1	1
결정형실리카		결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	1
결정형유리규산		결정형 유리규산	광물성분-012	14808-60-7	Group 1				레지스트리 정확일치	R	1	1
고주파 대역 전기장		전자기장	전자기장-168		Group 2B				동의어사전→전자기장	R	1	1
곰팡이		생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	1	1
곰팡이와 박테리아		생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	1	1
공간방사선량율		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
과망간산칼륨소비량						비유해인자	수질지표		비유해인자:수질지표	NA	1	1
광물성 분진		기타 분진 및 입자상 물질	기타분진-030						동의어사전→기타 분진 및 입자상 물질	R	1	1
